player,prize
A. Coello,475875
A. Tapia,475875
A. Galan,325125
F. Chingotto,296531
F. Stupaczuk,193406
M. Yanguas,178359
J. Lebron,164906
J. Sanz,163242
J. Nieto,163242
M. Di,159000
J. Garrido,128015
F. Navarro,122625
J. Gonzalez,119534
C. Gutierrez,100930
L. Bergamini,92673
E. Alonso,91500
P. Cardona,90469
J. Rico,78100
A. Ruiz,74695
A. Arroyo,71743
M. Sanchez,67876
J. Ruiz,67507
J. Tello,63001
F. Belasteguin,60236
L. Capra,58454
L. Campagnolo,57140
A. Fernandez,56865
J. Esbri,56440
A. Chozas,54188
J. Barahona,53228
J. Leal,52078
V. Libaak,47391
L. Augsburger,46594
T. Zapata,46385
V. Ruiz,46362
J. Garcia,45121
J. Bautista,44579
G. Rubio,43784
I. Sager,42518
S. Oria,42518
E. Goenaga,42471
J. Diestro,41931
F. Guerrero,41112
J. Cruz,39894
J. Jimenez,39755
I. Jofre,39331
A. Cepero,37997
A. Gutierrez,37199
F. Gil,37151
M. Benitez,37106
M. Lamperti,37036
A. Ayats,36800
A. Patiniotis,36286
P. Lijo,35815
L. Hernandez,34949
J. Munoz,33755
I. Vilari,33355
J. Valdes,33285
F. Mouri,32676
R. Moyano,31760
F. Dominguez,31059
D. Perino,30684
E. Sanchez,30424
P. Garcia,30333
J. Moya,29276
M. Quilez,28810
J. Martinez,28413
V. Mena,27426
C. Marti,27051
J. Solano,26440
I. Ramirez,26067
D. Gala,25622
Á. Melendez,24802
M. Semmler,24635
F. Ramirez,24427
D. Windahl,23838
J. Sanchez,23724
M. Solbes,23630
A. Sans,23535
D. Gil,23372
P. Melendez,22153
M. Del,21590
R. Mendez,20675
P. Hernandez,20674
G. Collado,20535
A. Luque,20020
M. Ortega,19927
M. Huete,19854
I. Piotto,19809
D. Santigosa,19784
R. Marcos,18659
R. Valenzuela,18283
T. Bueno,17628
M. Deus,17557
N. Deus,17556
A. Garcia,17373
A. Rodriguez,15659
G. Arnaldos,15353
T. Leygue,15261
M. Gonzalez,14933
C. Geens,14254
A. Montiel,13644
G. Nunes,12541
S. Cremona,11861
E. Torre,11626
A. Marques,11626
S. Alba,11300
S. Vasquez,10877
B. Blanque,10830
A. Ronco,10549
A. Gomez,10455
M. Cassetta,10363
D. Guichard,10292
F. Abbate,9354
G. Graziotti,9354
P. Araujo,9211
P. Castillo,8838
G. Alfonso,8625
J. Bergeron,7853
F. Insa,7807
M. Cordoba,7571
A. Mercadal,6751
H. Barbosa,6564
L. Aguirre,6376
E. Iriart,6305
N. Suescun,6305
C. Perez,6142
R. Aromi,6095
C. Jorge,5275
P. Vera,5275
L. Di,5110
J. Fermosell,5039
P. Aliaga,4992
J. Marmolejo,4875
S. Icardo,4618
D. Demian,4525
R. Sinicropi,4290
J. Pablo,4220
M. Casta,4219
C. Rocafort,4172
M. Saadon,3634
S. Iacovino,3563
B. Vera,3469
R. Martinez,3352
C. Medina,3095
M. Moreau,2977
R. Coello,2977
A. Axelsson,2953
Y. Hossam,2813
L. Barrientos,2743
A. Alhijji,2743
M. Bruno,2743
F. Chiostri,2625
A. Redha,2532
M. Aboulkassem,1922
E. Jensen,1829
B. Castro,1711
J. Seurin,1711
J. Mouliaa,1640
A. Saadon,1477
A. Fazendeiro,1477
A. Hassan,1477
J. Al,1477
D. Arredondo,1477
J. Alvarez,1477
A. Alsaygh,1477
R. Abdulla,1477
P. Amora,1477
R. Rivera,1477
O. Matias,1477
J. Bravo,1477
M. Al,1477
M. Joris,1477
J. Arga,1477
T. Vanbauce,1477
A. Alawadhi,1266
M. Nolten,1266
Y. De,1266
Z. Meireles,1266
J. Rodriguez,1266
M. Cejas,1266
M. Gutierrez,1266
J. Navarro,1266
J. Lacamoire,1266
J. Ignacio,1266
M. Vives,1266
F. Jurado,1266
F. Erguy,1266
I. Lehyt,1266
H. Garcia,1266
F. Alameda,1266
D. Cattaneo,1266
C. Martinez,1266
C. Luna,1266
C. Garcia,1266
A. Alabdullah,1266
A. Gaston,1266
B. Meijer,1266
A. William,1266
B. Van,1266
C. Molina,1266
C. Zarhi,1266
F. Alrebdi,1266
F. Al,1266
G. Perez,1266
J. Angel,1266
S. Richters,1266
T. Roper,1266
S. Jones,1266
S. Nieto,1266
S. Alshahrani,1266
S. Mu,1266
O. Althagib,1266
M. Rocafort,1266
L. Pozo,1266
M. Yuste,1266
A. Devletian,891
A. Tasa,891
B. Coene,891
E. Lopez,891
G. Wakim,891
F. Dehnike,891
S. Huttunen,891
M. Deloyer,891
P. Hyrkk,891
M. Sjovall,891
D. Gonzalez,891
J. Andrada,891
J. De,891
K. Saadon,891
T. Gamondi,891
R. Rodriguez,891
C. Fuster,820
A. Jerez,820
J. Balzola,820
V. Tur,820
I. Gonzalez,563
A. Naranjo,563
