,link,title,date_start,location,city,country,category
0,https://www.padelfip.com/es/events/riyadh-season-premier-padel-p1-2024/,RIYADH SEASON PREMIER PADEL P1,24/02/2024,RIYADH - SAUDI ARABIA,RIYADH,SAUDI ARABIA,P1
1,https://www.padelfip.com/es/events/ooredoo-qatar-major-premier-padel-2024/,OOREDOO QATAR MAJOR PREMIER PADEL,01/03/2024,DOHA - QATAR,DOHA,QATAR,MAJOR
2,https://www.padelfip.com/es/events/gnp-acapulco-p1-premier-padel-2024/,GNP ACAPULCO P1 PREMIER PADEL,17/03/2024,ACAPULCO - MEXICO,ACAPULCO,MEXICO,P1
3,https://www.padelfip.com/es/events/puerto-cabello-premier-padel-p2-2024/,PUERTO CABELLO PREMIER PADEL P2,23/03/2024,PUERTO CABELLO - VENEZUELA,PUERTO CABELLO,VENEZUELA,P2
4,https://www.padelfip.com/es/events/lotto-brussels-premier-padel-p2-presented-by-belfius-2024/,LOTTO BRUSSELS PREMIER PADEL P2 PRESENTED BY BELFIUS,20/04/2024,BRUXELLES - BELGIUM,BRUXELLES,BELGIUM,P2
5,https://www.padelfip.com/es/events/sevilla-premier-padel-p2-2024/,SEVILLA PREMIER PADEL P2,28/04/2024,SEVILLA - SPAIN,SEVILLA,SPAIN,P2
6,https://www.padelfip.com/es/events/asuncion-premier-padel-p2-2024/,ASUNCION PREMIER PADEL P2,11/05/2024,ASUNCION - PARAGUAY,ASUNCION,PARAGUAY,P2
7,https://www.padelfip.com/es/events/mar-del-plata-premier-padel-p1-2024/,MAR DEL PLATA PREMIER PADEL P1,18/05/2024,MAR DE PLATA - ARGENTINA,MAR DE PLATA,ARGENTINA,P1
8,https://www.padelfip.com/es/events/banco-de-chile-santiago-premier-padel-p1-2024/,BANCO DE CHILE SANTIAGO PREMIER PADEL P1,26/05/2024,SANTIAGO - CHILE,SANTIAGO,CHILE,P1
9,https://www.padelfip.com/es/events/betclic-bordeaux-premier-padel-p2-2024/,BETCLIC BORDEAUX PREMIER PADEL P2,09/06/2024,BORDEAUX - FRANCE,BORDEAUX,FRANCE,P2
10,https://www.padelfip.com/es/events/bnl-italy-major-premier-padel-2024/,BNL ITALY MAJOR PREMIER PADEL,15/06/2024,ROMA - ITALY,ROMA,ITALY,MAJOR
11,https://www.padelfip.com/es/events/genova-premier-padel-p2-2024/,GENOVA PREMIER PADEL P2,30/06/2024,GENOVA - ITALY,GENOVA,ITALY,P2
12,https://www.padelfip.com/es/events/malaga-premier-padel-p1-2024/,MALAGA PREMIER PADEL P1,06/07/2024,MALAGA - SPAIN,MALAGA,SPAIN,P1
13,https://www.padelfip.com/es/events/finland-premier-padel-p2-2024/,FINLAND PREMIER PADEL P2,28/07/2024,NOKIA - FINLAND,NOKIA,FINLAND,P2
14,https://www.padelfip.com/es/events/comunidad-de-madrid-premier-padel-p1-2024/,COMUNIDAD DE MADRID PREMIER PADEL P1,31/08/2024,MADRID - SPAIN,MADRID,SPAIN,P1
15,https://www.padelfip.com/es/events/rotterdam-premier-padel-p1-2024/,ROTTERDAM PREMIER PADEL P1,08/09/2024,ROTTERDAM - NETHERLANDS,ROTTERDAM,NETHERLANDS,P1
16,https://www.padelfip.com/es/events/oysho-valladolid-premier-padel-p2-2024/,OYSHO VALLADOLID PREMIER PADEL P2,14/09/2024,VALLADOLID - SPAIN,VALLADOLID,SPAIN,P2
17,https://www.padelfip.com/es/events/greenweez-paris-major-premier-padel-2024/,GREENWEEZ PARIS MAJOR PREMIER PADEL,28/09/2024,PARIS - FRANCE,PARIS,FRANCE,MAJOR
18,https://www.padelfip.com/es/events/newgiza-premier-padel-p2-2024/,NEWGIZA PREMIER PADEL P2,19/10/2024,NEW GIZA - EGYPT,NEW GIZA,EGYPT,P2
19,https://www.padelfip.com/es/events/dubai-premier-padel-p1-2024/,DUBAI PREMIER PADEL P1,03/11/2024,DUBAI - UNITED ARAB EMIRATES,DUBAI,UNITED ARAB EMIRATES,P1
20,https://www.padelfip.com/es/events/kuwait-city-premier-padel-p1-2024/,KUWAIT CITY PREMIER PADEL P1,09/11/2024,KUWAIT CITY - KUWAIT,KUWAIT CITY,KUWAIT,P1
21,https://www.padelfip.com/es/events/gnp-mexico-major-premier-padel-2024/,GNP MEXICO MAJOR PREMIER PADEL,23/11/2024,ACAPULCO - MEXICO,ACAPULCO,MEXICO,MAJOR
22,https://www.padelfip.com/es/events/milano-premier-padel-p1-2024/,MILANO PREMIER PADEL P1,30/11/2024,MILANO - ITALY,MILANO,ITALY,P1
23,https://www.padelfip.com/es/events/premier-padel-finals-2024/,PREMIER PADEL FINALS,19/12/2024,BARCELONA - SPAIN,BARCELONA,SPAIN,FINALS
